null,Abel Convection Lamongan,Sugio,Percetakan,3,Admin,1,null,null
null,Abiyah Digital Photo Lamongan,"Jalan Raya Dagan, Banjarwati, Paciran, Lamongan.",Fotografi,3,Admin,1,null,null
null,Al qolam Digital Printing,Lamongan,Percetakan,3,Admin,1,null,null
null,Anugrah Foto Copy Lamongan,"Jalan Raya Kambangan No.123, Brumbun, Lamongrejo, Ngimbang, Kabupaten Lamongan.",Percetakan,3,Admin,1,null,null
null,AR TECH Computer,"Jl. Raya Kalitengah - Karangbinangun, Sumberwudi, Karang Geneng, Kabupaten Lamongan.",Teknisi Komputer,3,Admin,1,null,null
null,Aris Video Shooting,Jl. TamanPrijek Kec. Laren Kab. Lamongan.,Shooting,3,Admin,1,null,null
null,AVS Lamongan,"Kecamatan Pucuk, Kabupaten Lamongan.",Percetakan,3,Admin,1,null,null
null,Badan Pemberdayaan Masyarakat Kabupaten Lmaongan,"Jl. Jaksa Agung Suprapto, Beringin, Tumenggungan, Kec. Lamongan, Kabupaten Lamongan, Jawa Timur 62214",Teknisi Komputer,3,Admin,1,null,null
null,Badan Perencanaan Pembangunan Daerah Kabupaten Lamongan ,"Jl. KH. Ahmad Dahlan No.1, Kauman, Sidoharjo, Kec. Lamongan, Kabupaten Lamongan, Jawa Timur 62214",Teknisi Komputer,3,Admin,1,null,null
null,Badan Perpustakaan Dan Arsip Daerah Kabupaten Lamongan,,Teknisi Komputer,3,Admin,1,null,null
null,Balai Wartawan Lamongan,"JL Kombespol M Duryat No.20, Kauman, Sidoharjo, Kec. Lamongan, Kabupaten Lamongan, Jawa Timur 62217.",Shooting,3,Admin,1,null,null
null,BPBD Kabupaten Lamongan,"Jl. Veteran No.45, Jetis, Kec. Lamongan, Kabupaten Lamongan, Jawa Timur 62212.",Teknisi Komputer,3,Admin,1,null,null
null,Badan Pusat Statistik Kabupaten Lamongan,"l. Basuki Rachmad No.176, Groyok, Sukomulyo, Kec. Lamongan, Kabupaten Lamongan, Jawa Timur 62216.",Tekniksi Komputer,3,Admin,1,null,null
null,Bungart Official ,"Jl. Lamongrejo No.117, Dapur Barat, Sidokumpul, Kec. Lamongan, Kabupaten Lamongan, Jawa Timur 62217.",Fotografi,3,Admin,1,null,null
null,Candis Video Shooting,Lamongan,Shooting,3,Admin,1,null,null
null,Ceria Digital Printing Gresik,"Jl. DR. Soetomo No.109, Trate, Karangpoh, Kec. Gresik, Kabupaten Gresik, Jawa Timur 61119.",Percetakan,3,Admin,1,null,null
null,CV. Margahayu Lamongan,"JL. Kyai Haji Ahmad Dahlan, Gang Murya 4, Sidoharjo, 62217, Kauman, Sidoharjo, Kec. Lamongan, Kabupaten Lamongan, Jawa Timur 62214",Admin,3,Admin,1,null,null
null,CV. AIDRAT Lamongan,"Drajat, Paciran, Kabupaten Lamongan, Jawa Timur 62264",Admin,3,Admin,1,null,null
null,CV.Bintang Arut,"Jl. Basuki Rahmat No.107, Rangge, Sukomulyo, Kec. Lamongan, Kabupaten Lamongan, Jawa Timur 62216",Admin,3,Admin,1,null,null
null,CV. Citra Mandiri,"l. Sunan Drajat No.100, Kauman, Sidoharjo, Kec. Lamongan, Kabupaten Lamongan, Jawa Timur 62214",Admin,3,Admin,1,null,null
null,CV. Dymas Production Lamongan,Lamongan,Admin,3,Admin,1,null,null
null,CV. Foto Citra Lamongan,"Jl. Lamongrejo No.28, Jetis, Kec. Lamongan, Kabupaten Lamongan, Bali 62214.",Percetakan,3,Admin,1,null,null
null,CV. Global Akses,"Perumahan Tuban Akbar Blok H 71, Perbon, Kecamatan Tuban, Perbon, Kec. Tuban, Kabupaten Tuban, Jawa Timur 62319.",Percetakan,3,Admin,1,null,null
null,CV. Multifungsi Computer Sukodadi Lamongan,"Jl. Airlangga No.37, Merjoyo, Sukodadi, Kabupaten Lamongan, Jawa Timur 62253.",Teknisi Komputer,3,Admin,1,null,null
null,CV. Nusa Usaha,"Komp. Multi Sarana Plaza, Karangturi, No.63, Karangturi, Kroman, Kec. Gresik, Kabupaten Gresik, Jawa Timur 61117.",Admin,3,Admin,1,null,null
null,CV. Quick Link,"Jl. Andanwangi No. 96 Tlogoanyar, Tlogoanyar, Kec. Lamongan, Kabupaten Lamongan, Jawa Timur 62218.",Admin,3,Admin,1,null,null
null,Dinas Kependudukan dan Pencatatan Sipil Kabupaten Lamongan,"Jl. Veteran No.51, Jetis, Kec. Lamongan, Kabupaten Lamongan, Jawa Timur 62211.",Teknisi Komputer,3,Admin,1,null,null
null,"Dinas Koperasi, Industri, dan Perdagangan Kabupaten Lamongan","JL. Jenderal Sudirman, Dapur Utara, Sidokumpul, Kec. Lamongan, Kabupaten Lamongan, Jawa Timur 62213.",Teknisi Komputer,3,Admin,1,null,null
null,Dinas Pemuda Dan Olaraga Kabupaten Lamongan,"Jl. Kusuma Bangsa No.32, Tumenggungbaru, Tumenggungan, Kec. Lamongan, Kabupaten Lamongan, Jawa Timur 62214.",Teknisi Komputer,3,Admin,1,null,null
null,Kantor Kepala Desa Deket Kulon,"Jl. Raya Deket No.60, Weru, Deket Kulon, Deket, Kabupaten Lamongan, Jawa Timur 62291",Teknisi Komputer,3,Admin,1,null,null
null,Dinas Pendidikan Kabupaten Lamongan,"Jl. KH. Ahmad Dahlan No.75, Jetis, Kec. Lamongan, Kabupaten Lamongan, Jawa Timur 62214.",Teknisi Komputer,3,Admin,1,null,null
null,Dinas Perikanan dan Kelautan Kabupaten Lamongan,"Jl. Sumargo No.2, Kaloharjo, Sidoharjo, Kec. Lamongan, Kabupaten Lamongan, Jawa Timur 62217.",Teknisi Komputer,3,Admin,1,null,null
null,Dinas PU Cipta Karya Kabupaten Lamongan,"Jl. Ki Sarmidi Mangun Sarkoro No.6, Jetis, Kec. Lamongan, Kabupaten Lamongan, Jawa Timur 62211.",Teknisi Komputer,3,Admin,1,null,null
null,Dinas Tenaga Kerja Dan Transmigrasi Kabupaten Lamongan,"Jl. Jaksa Agung Suprapto, Blangit, Sukoanyar, Kec. Lamongan, Kabupaten Lamongan, Jawa Timur 62218.",Teknisi Komputer,3,Admin,1,null,null
null,DPD Partai Golkar Lamongan,"Jl. lamonga rejo-, Krajan, Sidokumpul, Kec. Lamongan, Kabupaten Lamongan, Jawa Timur 62214.",Teknisi Komputer,3,Admin,1,null,null
null,Elba Video Shooting Lamongan,"Jl. Panglima Sudirman No.125, Sawah, Banjarmendalan, Kec. Lamongan, Kabupaten Lamongan, Jawa Timur 62212.",Shooting,3,Admin,1,null,null
null,Faizdayah Foto Copy dan Computer Bojonegoro,"Jalan Gajah Mada No.G-1 Kampung Baru, Kp. Baru, Sukorejo, Kec. Bojonegoro, Kabupaten Bojonegoro, Jawa Timur 62115.",Percetakan,3,Admin,1,null,null
null,FIF Lamongan,"Jl. Basuki Rachmad No.72, Sukomulyo, Sukorejo, Kec. Lamongan, Kabupaten Lamongan, Jawa Timur 62216.",Percetakan,3,Admin,1,null,null
null,FIFA Video Shooting,Lamongan,Shooting,3,Admin,1,null,null
null,Flazznet Pasuruan,"Jl. Raya Winongan Lor No.10, Tok Wiro, Winongan Lor, Winongan, Pasuruan, Jawa Timur 67182.",Admin,3,Admin,1,null,null
null,Foto Sambi Sugio Lamongan,"Sugio, Kabupaten Lamongan, Jawa Timur 62256.",Fotografi,3,Admin,1,null,null
null,Galaxy Komputer Lamongan,"Hasan Jl. Basuki Rahmat No.95, Rangge, Sukorejo, Kec. Lamongan, Kabupaten Lamongan, Jawa Timur 62216.Group",Tekniksi Komputer,3,Admin,1,null,null
null,Hasan Group,Lamongan,Admin,3,Admin,1,null,null
null,Icerush Custom Store,"Jl. Deket No.14, Weru, Deket Kulon, Deket, Kabupaten Lamongan, Jawa Timur 62291.",Admin,3,Admin,1,null,null
null,Innotech Advertising Design Center Lamongan,Lamongan,Teknisi Komputer,3,Admin,1,null,null
null,Kantor Bangian Humas Dan Protokol Kabupaten Lamongan,Lamongan,Teknisi Komputer,3,Admin,1,null,null
null,Kantor Kecamatan Mantup Lamongan,"Jl. Ayam Alas No.45, Mantup, Kabupaten Lamongan, Jawa Timur 62283.",Teknisi Komputer,3,Admin,1,null,null
null,Kantor Kecamatan Pucuk ,"Jl. Dati Pucuk No.92, Kesambi, Pucuk, Kabupaten Lamongan, Jawa Timur 62257.",Admin,3,Admin,1,null,null
null,Kantor Kementerian Agama Kabupaten Lamongan,Kantor Kementerian Agama Kabupaten Lamongan,Tekniksi Komputer,3,Admin,1,null,null
